==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'metric', 'softmax'}, lr=0.0002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=50, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset market1501
Dataset normal
=> Market1501 loaded
Dataset statistics:
  ==============================
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ==============================
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [6][80/93]	Time 0.320 (0.303)	Data 0.161 (0.153)	Loss 7.0764 (7.0910)	CLoss 6.4931 (6.5760)	MLoss 0.5834 (0.5150)	
Epoch: [6][90/93]	Time 0.317 (0.304)	Data 0.168 (0.154)	Loss 7.0824 (7.0906)	CLoss 6.6389 (6.5785)	MLoss 0.4435 (0.5122)	
Epoch: [7][10/93]	Time 0.298 (0.295)	Data 0.153 (0.145)	Loss 6.8185 (7.0591)	CLoss 6.4492 (6.5052)	MLoss 0.3693 (0.5539)	
Epoch: [7][20/93]	Time 0.300 (0.297)	Data 0.157 (0.149)	Loss 6.6503 (7.0113)	CLoss 6.5676 (6.5261)	MLoss 0.0827 (0.4851)	
Epoch: [7][30/93]	Time 0.297 (0.297)	Data 0.153 (0.151)	Loss 6.7169 (7.0328)	CLoss 6.4718 (6.5321)	MLoss 0.2451 (0.5006)	
Epoch: [7][40/93]	Time 0.297 (0.298)	Data 0.155 (0.152)	Loss 7.1891 (7.0182)	CLoss 6.6005 (6.5394)	MLoss 0.5886 (0.4788)	
Epoch: [7][50/93]	Time 0.296 (0.298)	Data 0.152 (0.152)	Loss 6.7223 (7.0101)	CLoss 6.4058 (6.5350)	MLoss 0.3165 (0.4751)	
Epoch: [7][60/93]	Time 0.297 (0.298)	Data 0.154 (0.152)	Loss 6.7617 (7.0259)	CLoss 6.5633 (6.5380)	MLoss 0.1984 (0.4879)	
Epoch: [7][70/93]	Time 0.297 (0.298)	Data 0.150 (0.152)	Loss 7.1691 (7.0238)	CLoss 6.5761 (6.5396)	MLoss 0.5930 (0.4841)	
Epoch: [7][80/93]	Time 0.299 (0.298)	Data 0.154 (0.152)	Loss 7.3667 (7.0374)	CLoss 6.5614 (6.5454)	MLoss 0.8053 (0.4920)	
Epoch: [7][90/93]	Time 0.300 (0.298)	Data 0.155 (0.152)	Loss 6.7420 (7.0110)	CLoss 6.4706 (6.5472)	MLoss 0.2714 (0.4637)	
Epoch: [8][10/93]	Time 0.297 (0.290)	Data 0.153 (0.145)	Loss 6.6272 (6.7452)	CLoss 6.5145 (6.4973)	MLoss 0.1127 (0.2479)	
Epoch: [8][20/93]	Time 0.292 (0.294)	Data 0.148 (0.149)	Loss 6.9197 (6.8101)	CLoss 6.5645 (6.4971)	MLoss 0.3552 (0.3130)	
