==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='dukemtmcreid', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'softmax', 'metric'}, lr=0.002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='./log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset dukemtmcreid
=> DukeMTMC-reID loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   702 |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
  ------------------------------
  total    |  1404 |    36411
  ------------------------------
Initializing model: resnet50
Model size: 24.94643M
==> Start training
Epoch: [7][60/87]	Time 0.311 (0.310)	Data 0.169 (0.168)	Loss 7.0023 (6.9108F)	CLoss 6.6926 (6.6196)	MLoss 0.3096 (0.2912)	
Epoch: [7][70/87]	Time 0.306 (0.310)	Data 0.168 (0.169)	Loss 7.0130 (6.9268F)	CLoss 6.7231 (6.6340)	MLoss 0.2899 (0.2928)	
Epoch: [7][80/87]	Time 0.306 (0.310)	Data 0.166 (0.169)	Loss 6.9933 (6.9364F)	CLoss 6.7326 (6.6471)	MLoss 0.2608 (0.2893)	
Epoch: [8][10/87]	Time 0.320 (0.301)	Data 0.179 (0.160)	Loss 6.8739 (6.8235F)	CLoss 6.5455 (6.5457)	MLoss 0.3284 (0.2778)	
Epoch: [8][20/87]	Time 0.308 (0.305)	Data 0.170 (0.164)	Loss 6.7674 (6.8387F)	CLoss 6.5625 (6.5604)	MLoss 0.2049 (0.2783)	
Epoch: [8][30/87]	Time 0.310 (0.308)	Data 0.170 (0.166)	Loss 6.9677 (6.8442F)	CLoss 6.6466 (6.5745)	MLoss 0.3211 (0.2697)	
Epoch: [8][40/87]	Time 0.309 (0.309)	Data 0.169 (0.167)	Loss 6.8200 (6.8573F)	CLoss 6.6198 (6.5884)	MLoss 0.2002 (0.2689)	
Epoch: [8][50/87]	Time 0.311 (0.309)	Data 0.172 (0.168)	Loss 7.1065 (6.8753F)	CLoss 6.6818 (6.6019)	MLoss 0.4247 (0.2734)	
Epoch: [8][60/87]	Time 0.312 (0.309)	Data 0.170 (0.168)	Loss 7.1393 (6.8921F)	CLoss 6.6926 (6.6169)	MLoss 0.4467 (0.2753)	
Epoch: [8][70/87]	Time 0.319 (0.310)	Data 0.172 (0.169)	Loss 6.8637 (6.9040F)	CLoss 6.6996 (6.6300)	MLoss 0.1641 (0.2740)	
