==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='cuhk03', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'metric', 'softmax'}, lr=0.0002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='./log/cuhk03_detected', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=30, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset cuhk03
Note: if root path is changed, the previously generated json files need to be re-generated (delete them first)
Split index = 0
=> CUHK03 (detected) loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   767 |     7365
  query    |   700 |     1400
  gallery  |   700 |     5332
  ------------------------------
  total    |  1467 |     8765
  ------------------------------
Initializing model: resnet50
Model size: 25.07962M
==> Start training
Epoch: [5][40/95]	Time 0.338 (0.339)	Data 0.193 (0.193)	Loss 7.0789 (7.1862)	CLoss 6.5905 (6.5936)	MLoss 0.4883 (0.5925)	
Epoch: [5][50/95]	Time 0.334 (0.338)	Data 0.190 (0.193)	Loss 7.9844 (7.2532)	CLoss 6.7627 (6.6050)	MLoss 1.2217 (0.6482)	
Epoch: [5][60/95]	Time 0.340 (0.339)	Data 0.196 (0.194)	Loss 7.3753 (7.2626)	CLoss 6.7937 (6.6180)	MLoss 0.5816 (0.6447)	
Epoch: [5][70/95]	Time 0.340 (0.339)	Data 0.194 (0.194)	Loss 8.1423 (7.2781)	CLoss 6.7486 (6.6233)	MLoss 1.3937 (0.6548)	
Epoch: [5][80/95]	Time 0.333 (0.339)	Data 0.187 (0.194)	Loss 7.0728 (7.2699)	CLoss 6.5964 (6.6256)	MLoss 0.4764 (0.6443)	
Epoch: [5][90/95]	Time 0.338 (0.339)	Data 0.193 (0.194)	Loss 7.7231 (7.2608)	CLoss 6.6368 (6.6284)	MLoss 1.0863 (0.6325)	
Epoch: [6][10/95]	Time 0.328 (0.327)	Data 0.182 (0.182)	Loss 7.3511 (7.1710)	CLoss 6.6580 (6.5883)	MLoss 0.6932 (0.5827)	
Epoch: [6][20/95]	Time 0.337 (0.336)	Data 0.194 (0.191)	Loss 6.8735 (7.0748)	CLoss 6.5229 (6.5779)	MLoss 0.3506 (0.4969)	
Epoch: [6][30/95]	Time 0.360 (0.336)	Data 0.210 (0.191)	Loss 6.9905 (7.0318)	CLoss 6.5863 (6.5740)	MLoss 0.4042 (0.4578)	
Epoch: [6][40/95]	Time 0.347 (0.337)	Data 0.200 (0.192)	Loss 7.0320 (7.0471)	CLoss 6.5944 (6.5736)	MLoss 0.4376 (0.4735)	
