==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=True, dataset='chuk03', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'metric', 'softmax'}, lr=0.002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='./log/Cuhk03/softmax_metric', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset chuk03
Note: if root path is changed, the previously generated json files need to be re-generated (delete them first)
Split index = 0
=> CUHK03 (labeled) loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   767 |     7368
  query    |   700 |     1400
  gallery  |   700 |     5328
  ------------------------------
  total    |  1467 |     8768
  ------------------------------
Initializing model: resnet50
Model size: 25.07962M
==> Start training
Epoch: [7][50/95]	Time 0.338 (0.336)	Data 0.184 (0.187)	Loss 6.8337 (6.7562)	CLoss 6.6807 (6.5983)	MLoss 0.1530 (0.1579)	
Epoch: [7][60/95]	Time 0.346 (0.336)	Data 0.193 (0.188)	Loss 7.0198 (6.7788)	CLoss 6.7015 (6.6216)	MLoss 0.3182 (0.1572)	
Epoch: [7][70/95]	Time 0.337 (0.337)	Data 0.183 (0.188)	Loss 6.9129 (6.8054)	CLoss 6.7941 (6.6433)	MLoss 0.1188 (0.1620)	
Epoch: [7][80/95]	Time 0.341 (0.337)	Data 0.190 (0.188)	Loss 6.9422 (6.8325)	CLoss 6.8837 (6.6669)	MLoss 0.0585 (0.1656)	
Epoch: [7][90/95]	Time 0.337 (0.338)	Data 0.191 (0.189)	Loss 7.1493 (6.8500)	CLoss 6.8260 (6.6852)	MLoss 0.3233 (0.1648)	
Epoch: [8][10/95]	Time 0.334 (0.326)	Data 0.180 (0.177)	Loss 6.5898 (6.7547)	CLoss 6.4810 (6.4793)	MLoss 0.1089 (0.2754)	
Epoch: [8][20/95]	Time 0.339 (0.330)	Data 0.193 (0.182)	Loss 6.6037 (6.7003)	CLoss 6.5144 (6.4897)	MLoss 0.0893 (0.2106)	
Epoch: [8][30/95]	Time 0.341 (0.332)	Data 0.186 (0.183)	Loss 6.9988 (6.7217)	CLoss 6.5585 (6.5015)	MLoss 0.4403 (0.2201)	
Epoch: [8][40/95]	Time 0.328 (0.332)	Data 0.184 (0.184)	Loss 6.9101 (6.7203)	CLoss 6.6740 (6.5226)	MLoss 0.2362 (0.1977)	
Epoch: [8][50/95]	Time 0.329 (0.332)	Data 0.184 (0.184)	Loss 6.8659 (6.7370)	CLoss 6.6555 (6.5446)	MLoss 0.2104 (0.1924)	
Epoch: [8][60/95]	Time 0.331 (0.333)	Data 0.183 (0.185)	Loss 6.8030 (6.7671)	CLoss 6.7388 (6.5684)	MLoss 0.0642 (0.1987)	
Epoch: [8][70/95]	Time 0.338 (0.334)	Data 0.184 (0.185)	Loss 6.9926 (6.7876)	CLoss 6.7581 (6.5916)	MLoss 0.2345 (0.1960)	
Epoch: [8][80/95]	Time 0.356 (0.336)	Data 0.206 (0.186)	Loss 7.1049 (6.8130)	CLoss 6.8188 (6.6131)	MLoss 0.2862 (0.1998)	
Epoch: [8][90/95]	Time 0.329 (0.336)	Data 0.184 (0.186)	Loss 7.2847 (6.8314)	CLoss 6.8730 (6.6337)	MLoss 0.4117 (0.1977)	
Epoch: [9][10/95]	Time 0.329 (0.325)	Data 0.183 (0.176)	Loss 6.4055 (6.5943)	CLoss 6.3383 (6.3747)	MLoss 0.0672 (0.2196)	
Epoch: [9][20/95]	Time 0.341 (0.330)	Data 0.195 (0.182)	Loss 6.6818 (6.6241)	CLoss 6.5115 (6.4105)	MLoss 0.1703 (0.2136)	
Epoch: [9][30/95]	Time 0.349 (0.336)	Data 0.185 (0.185)	Loss 6.6505 (6.6283)	CLoss 6.5089 (6.4372)	MLoss 0.1417 (0.1911)	
Epoch: [9][40/95]	Time 0.346 (0.339)	Data 0.187 (0.188)	Loss 6.6669 (6.6786)	CLoss 6.4937 (6.4597)	MLoss 0.1732 (0.2189)	
Epoch: [9][50/95]	Time 0.340 (0.338)	Data 0.193 (0.187)	Loss 6.5536 (6.6838)	CLoss 6.5252 (6.4798)	MLoss 0.0284 (0.2040)	
Epoch: [9][60/95]	Time 0.339 (0.338)	Data 0.189 (0.187)	Loss 6.7365 (6.6963)	CLoss 6.6502 (6.4990)	MLoss 0.0863 (0.1973)	
Epoch: [9][70/95]	Time 0.346 (0.338)	Data 0.181 (0.187)	Loss 7.1542 (6.7271)	CLoss 6.7053 (6.5236)	MLoss 0.4490 (0.2035)	
Epoch: [9][80/95]	Time 0.334 (0.338)	Data 0.183 (0.187)	Loss 7.4974 (6.7540)	CLoss 6.7744 (6.5455)	MLoss 0.7230 (0.2085)	
Epoch: [9][90/95]	Time 0.329 (0.338)	Data 0.180 (0.187)	Loss 7.1419 (6.7751)	CLoss 6.8128 (6.5658)	MLoss 0.3291 (0.2093)	
Epoch: [10][10/95]	Time 0.338 (0.326)	Data 0.188 (0.176)	Loss 6.2521 (6.4720)	CLoss 6.2479 (6.2612)	MLoss 0.0042 (0.2108)	
Epoch: [10][20/95]	Time 0.347 (0.333)	Data 0.202 (0.183)	Loss 6.6640 (6.4201)	CLoss 6.3693 (6.2476)	MLoss 0.2947 (0.1725)	
Epoch: [10][30/95]	Time 0.329 (0.334)	Data 0.182 (0.185)	Loss 6.5133 (6.5077)	CLoss 6.4245 (6.2791)	MLoss 0.0887 (0.2285)	
Epoch: [10][40/95]	Time 0.334 (0.335)	Data 0.186 (0.186)	Loss 6.2327 (6.5287)	CLoss 6.2327 (6.3000)	MLoss 0.0000 (0.2287)	
Epoch: [10][50/95]	Time 0.340 (0.335)	Data 0.187 (0.186)	Loss 6.5459 (6.5697)	CLoss 6.4067 (6.3304)	MLoss 0.1392 (0.2392)	
Epoch: [10][60/95]	Time 0.330 (0.335)	Data 0.181 (0.186)	Loss 6.6220 (6.6097)	CLoss 6.5473 (6.3710)	MLoss 0.0748 (0.2386)	
Epoch: [10][70/95]	Time 0.329 (0.335)	Data 0.184 (0.186)	Loss 6.5237 (6.6347)	CLoss 6.4825 (6.3997)	MLoss 0.0413 (0.2350)	
Epoch: [10][80/95]	Time 0.330 (0.335)	Data 0.185 (0.186)	Loss 6.7637 (6.6727)	CLoss 6.5497 (6.4246)	MLoss 0.2140 (0.2481)	
